"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 27 13:54:49 GMT 2024","Mon May 27 13:55:00 GMT 2024","11236","alko-chromium-e2e-fi","alko/e2e.spec.js","","","","Search for a famous Finnish product called Jaloviina",""
"passed","Mon May 27 13:59:18 GMT 2024","Mon May 27 13:59:33 GMT 2024","15601","alko-webkit-fi","alko/e2e.spec.js","","","","Search for a famous Finnish product called Jaloviina",""
"passed","Mon May 27 14:04:24 GMT 2024","Mon May 27 14:04:28 GMT 2024","4163","alko-webkit-sv","alko/product-data.spec.js","","","","Validate product details for product with id 101486",""
"broken","Mon May 27 13:56:06 GMT 2024","Mon May 27 13:56:37 GMT 2024","31885","alko-chromium-e2e-sv","alko/e2e.spec.js","","","","Search for a famous Finnish product called Jaloviina",""
"passed","Mon May 27 13:54:33 GMT 2024","Mon May 27 13:54:37 GMT 2024","4181","alko-chromium-data-sv","alko/product-data.spec.js","","","","Validate product details for product with id 132",""
"passed","Mon May 27 14:04:19 GMT 2024","Mon May 27 14:04:24 GMT 2024","4713","alko-webkit-sv","alko/product-data.spec.js","","","","Validate product details for product with id 132",""
"passed","Mon May 27 13:54:25 GMT 2024","Mon May 27 13:54:29 GMT 2024","4013","alko-chromium-data-fi","alko/product-data.spec.js","","","","Validate product details for product with id 132",""
"passed","Mon May 27 13:56:38 GMT 2024","Mon May 27 13:56:49 GMT 2024","11544","alko-chromium-e2e-en","alko/e2e.spec.js","","","","Search for a famous Finnish product called Jaloviina",""
"passed","Mon May 27 13:57:07 GMT 2024","Mon May 27 13:57:10 GMT 2024","3125","alko-firefox-fi","alko/product-data.spec.js","","","","Validate product details for product with id 101486",""
"passed","Mon May 27 13:57:03 GMT 2024","Mon May 27 13:57:07 GMT 2024","3565","alko-firefox-fi","alko/product-data.spec.js","","","","Validate product details for product with id 132",""
"broken","Mon May 27 13:58:17 GMT 2024","Mon May 27 13:58:49 GMT 2024","32717","alko-firefox-sv","alko/e2e.spec.js","","","","Search for a famous Finnish product called Jaloviina",""
"passed","Mon May 27 14:04:29 GMT 2024","Mon May 27 14:04:48 GMT 2024","19383","alko-webkit-en","alko/e2e.spec.js","","","","Search for a famous Finnish product called Jaloviina",""
"passed","Mon May 27 13:58:50 GMT 2024","Mon May 27 13:58:54 GMT 2024","4160","alko-firefox-sv","alko/product-data.spec.js","","","","Validate product details for product with id 132",""
"passed","Mon May 27 14:04:48 GMT 2024","Mon May 27 14:04:52 GMT 2024","3996","alko-webkit-en","alko/product-data.spec.js","","","","Validate product details for product with id 132",""
"passed","Mon May 27 13:59:37 GMT 2024","Mon May 27 13:59:41 GMT 2024","4145","alko-webkit-fi","alko/product-data.spec.js","","","","Validate product details for product with id 101486",""
"passed","Mon May 27 13:58:54 GMT 2024","Mon May 27 13:58:57 GMT 2024","3162","alko-firefox-sv","alko/product-data.spec.js","","","","Validate product details for product with id 101486",""
"passed","Mon May 27 13:59:14 GMT 2024","Mon May 27 13:59:17 GMT 2024","2880","alko-firefox-en","alko/product-data.spec.js","","","","Validate product details for product with id 101486",""
"passed","Mon May 27 13:59:33 GMT 2024","Mon May 27 13:59:37 GMT 2024","4004","alko-webkit-fi","alko/product-data.spec.js","","","","Validate product details for product with id 132",""
"passed","Mon May 27 13:54:45 GMT 2024","Mon May 27 13:54:48 GMT 2024","3656","alko-chromium-data-en","alko/product-data.spec.js","","","","Validate product details for product with id 101486",""
"passed","Mon May 27 13:58:58 GMT 2024","Mon May 27 13:59:11 GMT 2024","12737","alko-firefox-en","alko/e2e.spec.js","","","","Search for a famous Finnish product called Jaloviina",""
"passed","Mon May 27 13:54:29 GMT 2024","Mon May 27 13:54:32 GMT 2024","3483","alko-chromium-data-fi","alko/product-data.spec.js","","","","Validate product details for product with id 101486",""
"passed","Mon May 27 13:54:37 GMT 2024","Mon May 27 13:54:40 GMT 2024","3291","alko-chromium-data-sv","alko/product-data.spec.js","","","","Validate product details for product with id 101486",""
"passed","Mon May 27 14:04:52 GMT 2024","Mon May 27 14:04:56 GMT 2024","4120","alko-webkit-en","alko/product-data.spec.js","","","","Validate product details for product with id 101486",""
"broken","Mon May 27 14:02:47 GMT 2024","Mon May 27 14:04:19 GMT 2024","91908","alko-webkit-sv","alko/e2e.spec.js","","","","Search for a famous Finnish product called Jaloviina",""
"passed","Mon May 27 13:54:41 GMT 2024","Mon May 27 13:54:45 GMT 2024","3743","alko-chromium-data-en","alko/product-data.spec.js","","","","Validate product details for product with id 132",""
"passed","Mon May 27 13:56:50 GMT 2024","Mon May 27 13:57:03 GMT 2024","13011","alko-firefox-fi","alko/e2e.spec.js","","","","Search for a famous Finnish product called Jaloviina",""
"passed","Mon May 27 13:59:11 GMT 2024","Mon May 27 13:59:14 GMT 2024","2781","alko-firefox-en","alko/product-data.spec.js","","","","Validate product details for product with id 132",""
